"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Отправка запроса на авторизацию курьера с несуществующим паролем","484","Проверка авторизации курьера с невалидным паролем","tests","Mon Jun 23 01:26:53 GMT+07:00 2025","passed","Mon Jun 23 01:26:54 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"Отправка запроса на регистрацию курьера без указания имени; без указания пароля; без указания логина","235","Проверка создания курьера с невалидными данными","tests","Mon Jun 23 01:26:51 GMT+07:00 2025","passed","Mon Jun 23 01:26:51 GMT+07:00 2025","TestAddCourier","test_add_courier","",""
"Отправка запроса на принятие заказа с указанием существующего id курьера исуществующего id заказа","250","Проверка успешного принятия заказа","tests","Mon Jun 23 01:27:59 GMT+07:00 2025","passed","Mon Jun 23 01:28:00 GMT+07:00 2025","TestAcceptOrder","test_order","",""
"Отправка запроса на создание заказа с выбором цвета самоката: черный; серый; черный и серый; без указания цвета","268","Проверка успешного создания заказа","tests","Mon Jun 23 01:27:55 GMT+07:00 2025","passed","Mon Jun 23 01:27:55 GMT+07:00 2025","TestOrder","test_order","",""
"","230","Проверка возвращения ошибки при отправке запроса на удаление курьера без указания id курьера","tests","Mon Jun 23 01:26:52 GMT+07:00 2025","failed","Mon Jun 23 01:26:52 GMT+07:00 2025","TestDeletCourier","test_delet_courier","",""
"","227","Проверка возвращения ошибки при отправке запроса на удаление курьера с указанием несуществующего id курьера","tests","Mon Jun 23 01:26:52 GMT+07:00 2025","passed","Mon Jun 23 01:26:52 GMT+07:00 2025","TestDeletCourier","test_delet_courier","",""
"Отправка запроса на авторизацию курьера при отсутствии поля пароль","60237","Проверка авторизации курьера с ошибкой в пароле","tests","Mon Jun 23 01:26:54 GMT+07:00 2025","failed","Mon Jun 23 01:27:54 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"Отправка запроса на авторизацию курьера при отсутствии поля логин","232","Проверка авторизации курьера с ошибкой в логине","tests","Mon Jun 23 01:26:54 GMT+07:00 2025","passed","Mon Jun 23 01:26:54 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"","3010","Проверка получения списка заказов","tests","Mon Jun 23 01:27:55 GMT+07:00 2025","passed","Mon Jun 23 01:27:58 GMT+07:00 2025","TestListOrder","test_order","",""
"Отправка запроса на регистрацию курьера без указания имени; без указания пароля; без указания логина","225","Проверка создания курьера с невалидными данными","tests","Mon Jun 23 01:26:50 GMT+07:00 2025","passed","Mon Jun 23 01:26:50 GMT+07:00 2025","TestAddCourier","test_add_courier","",""
